Weather_Condition,Road_Type,Road_Condition,Speed_Limit,Time_of_Day,Vehicle_Type,Driver_Age,State,City,Accident_Severity
Fog,Highway,Wet,70,Evening,Car,27.0,Uttar Pradesh,Raebareli,Severe
Rain,Highway,Hill Area,80,Morning,Bus,49.0,Karnataka,Mangaluru,Fatal
Clear,Highway,Potholes,70,Evening,Motorcycle,52.0,Uttar Pradesh,Bulandshahr,Fatal
Clear,City Street,Hill Area,30,Morning,Truck,28.0,Delhi,South East Delhi,Moderate
Snow,City Street,Potholes,60,Morning,Motorcycle,25.0,Haryana,Panipat,Severe
Clear,City Street,Hill Area,60,Morning,Car,40.0,Tamil Nadu,Chennai,Severe
Clear,Highway,Normal,200,Afternoon,Motorcycle,28.0,Haryana,Kaithal,Fatal
Clear,Highway,Potholes,200,Evening,Truck,42.0,Delhi,North Delhi,Fatal
Clear,Highway,Hill Area,65,Evening,Motorcycle,37.0,Tamil Nadu,Coimbatore,Fatal
Snow,Rural Road,Hill Area,70,Evening,Truck,16.0,Haryana,Panipat,Fatal
Rain,City Street,Hill Area,25,Night,Bus,53.0,Tamil Nadu,Madurai,Fatal
Rain,Highway,Normal,70,Morning,Motorcycle,56.0,Maharashtra,Nashik,Fatal
Clear,City Street,Normal,35,Afternoon,Car,27.0,Uttar Pradesh,Shahjahanpur,Minor
Fog,Rural Road,Potholes,90,Evening,Motorcycle,30.0,Delhi,North East Delhi,Fatal
Fog,City Street,Wet,30,Night,Motorcycle,38.0,Uttar Pradesh,Mahoba,Fatal
Clear,Highway,Potholes,80,Night,Truck,39.0,Tamil Nadu,Madurai,Fatal
Snow,Rural Road,Potholes,90,Afternoon,Car,42.0,Delhi,South East Delhi,Severe
Rain,City Street,Hill Area,80,Morning,Car,,Maharashtra,Nagpur,Fatal
Clear,Highway,Normal,200,Night,Motorcycle,32.0,Tamil Nadu,Chennai,Fatal
Rain,Rural Road,Wet,120,Evening,Motorcycle,25.0,Maharashtra,Pune,Fatal
Rain,Highway,Potholes,70,Afternoon,Motorcycle,18.0,Karnataka,Bengaluru,Fatal
Fog,Highway,Normal,80,Morning,Bus,26.0,Haryana,Panchkula,Fatal
Clear,City Street,Hill Area,80,Night,Motorcycle,34.0,Tamil Nadu,Salem,Fatal
Fog,Rural Road,Hill Area,45,Night,Truck,56.0,Haryana,Panipat,Fatal
Fog,Highway,Normal,70,Afternoon,Bus,28.0,Karnataka,Bengaluru,Fatal
Clear,Rural Road,Hill Area,35,Morning,Car,37.0,Maharashtra,Nagpur,Moderate
Clear,City Street,Potholes,25,Evening,Motorcycle,34.0,Maharashtra,Nashik,Moderate
Rain,Rural Road,Hill Area,45,Morning,Motorcycle,49.0,Maharashtra,Pune,Fatal
Clear,Highway,Potholes,100,Morning,Car,65.0,Karnataka,Hubli,Severe
Snow,City Street,Hill Area,45,Afternoon,Truck,28.0,Tamil Nadu,Salem,Severe
Rain,Rural Road,Potholes,70,Morning,Bus,29.0,Karnataka,Mysuru,Moderate
Clear,Rural Road,Hill Area,90,Evening,Car,47.0,Haryana,Ambala,Severe
Clear,Rural Road,Normal,70,Afternoon,Car,43.0,Tamil Nadu,Coimbatore,Minor
Clear,Rural Road,Wet,120,Morning,Motorcycle,57.0,Haryana,Jhajjar,Fatal
Clear,Rural Road,Potholes,55,Night,Car,42.0,Karnataka,Bengaluru,Severe
Rain,City Street,Normal,25,Evening,Bus,30.0,Maharashtra,Mumbai,Moderate
Rain,City Street,Wet,35,Afternoon,Motorcycle,42.0,Delhi,New Delhi,Fatal
Rain,Highway,Potholes,100,Afternoon,Car,48.0,Uttar Pradesh,Ayodhya,Fatal
Clear,City Street,Wet,25,Night,Motorcycle,44.0,Maharashtra,Nashik,Severe
Rain,Highway,Wet,55,Night,Bus,41.0,Delhi,North East Delhi,Fatal
Fog,Rural Road,Hill Area,120,Morning,Bus,47.0,Delhi,Shahdara,Fatal
Clear,City Street,Normal,45,Afternoon,Truck,49.0,Maharashtra,Nashik,Minor
,Highway,Potholes,220,Afternoon,Truck,51.0,Tamil Nadu,Salem,Fatal
Clear,Highway,Hill Area,200,Evening,Truck,42.0,Delhi,Central Delhi,Fatal
Snow,Rural Road,Hill Area,35,Evening,Truck,32.0,Tamil Nadu,Madurai,Severe
Clear,City Street,Normal,35,Night,Car,36.0,Haryana,Rewari,Moderate
Rain,Rural Road,Potholes,55,Evening,Motorcycle,49.0,Uttar Pradesh,Moradabad,Severe
Snow,City Street,Wet,80,Night,Motorcycle,25.0,Delhi,New Delhi,Fatal
Fog,Highway,Normal,150,Afternoon,Bus,39.0,Tamil Nadu,Salem,Fatal
Clear,Rural Road,Normal,90,Night,Car,30.0,Maharashtra,Nashik,Severe
Fog,Highway,Normal,200,Morning,Bus,35.0,Maharashtra,Pune,Fatal
Rain,Rural Road,Normal,90,Evening,Motorcycle,50.0,Haryana,Charkhi Dadri,Fatal
Rain,Highway,Hill Area,80,Evening,Car,37.0,Maharashtra,Nashik,Fatal
Rain,Rural Road,Hill Area,45,Morning,Motorcycle,35.0,Tamil Nadu,Salem,Severe
Rain,Highway,Wet,220,Morning,Truck,18.0,Maharashtra,Pune,Fatal
Rain,Rural Road,Normal,120,Evening,Bus,43.0,Delhi,Shahdara,Severe
Snow,City Street,Hill Area,45,Evening,Car,42.0,Uttar Pradesh,Shahjahanpur,Severe
Snow,Rural Road,Normal,90,Afternoon,Car,60.0,Maharashtra,Nashik,Severe
Snow,Highway,Hill Area,55,Afternoon,Motorcycle,31.0,Delhi,South West Delhi,Fatal
Fog,Highway,Wet,65,Afternoon,Truck,37.0,Maharashtra,Nagpur,Severe
Clear,City Street,Hill Area,25,Morning,Motorcycle,37.0,Maharashtra,Pune,Fatal
Rain,City Street,Normal,60,Evening,Truck,53.0,Delhi,South West Delhi,Minor
Clear,Rural Road,Hill Area,70,Morning,Car,33.0,Delhi,Central Delhi,Severe
Clear,Highway,Normal,65,Night,Car,38.0,Maharashtra,Nashik,Severe
Clear,Rural Road,Normal,90,Evening,Bus,42.0,Karnataka,Bengaluru,Severe
Rain,Rural Road,Normal,90,Night,Bus,37.0,Karnataka,Hubli,Severe
Snow,Rural Road,Normal,35,Night,Motorcycle,29.0,Tamil Nadu,Coimbatore,Fatal
Clear,Rural Road,Normal,55,Afternoon,Truck,37.0,Uttar Pradesh,Sant Kabir Nagar,Minor
Fog,City Street,Hill Area,25,Afternoon,Truck,47.0,Haryana,Bhiwani,Severe
Snow,Rural Road,Hill Area,45,Evening,Motorcycle,22.0,Tamil Nadu,Coimbatore,Fatal
Snow,Rural Road,Potholes,90,Evening,Motorcycle,36.0,Delhi,South East Delhi,Fatal
Clear,Highway,Normal,80,Night,Motorcycle,26.0,Haryana,Hisar,Fatal
Snow,Highway,Hill Area,100,Night,Motorcycle,49.0,Tamil Nadu,Madurai,Fatal
Snow,Highway,Normal,55,Night,Car,16.0,Karnataka,Mysuru,Severe
Rain,City Street,Wet,80,Afternoon,Bus,28.0,Uttar Pradesh,Kanpur Dehat,Severe
,City Street,Wet,35,Morning,Motorcycle,39.0,Delhi,East Delhi,Severe
Clear,Highway,Potholes,120,Night,Truck,53.0,Uttar Pradesh,Varanasi,Fatal
Clear,Highway,Wet,70,Evening,Truck,34.0,Haryana,Jind,Severe
Rain,Highway,Wet,55,Morning,Truck,28.0,Maharashtra,Mumbai,Severe
Fog,Rural Road,Normal,45,Evening,Truck,57.0,Maharashtra,Nashik,Moderate
Snow,Rural Road,Wet,45,Night,Car,17.0,Delhi,New Delhi,Fatal
Rain,Rural Road,Hill Area,120,Evening,Motorcycle,16.0,Tamil Nadu,Salem,Fatal
Clear,Rural Road,Wet,35,Evening,Truck,40.0,Maharashtra,Pune,Moderate
Rain,Rural Road,Hill Area,45,Afternoon,Car,28.0,Karnataka,Bengaluru,Fatal
Snow,City Street,Hill Area,60,Afternoon,Motorcycle,22.0,Uttar Pradesh,Kushinagar,Fatal
Fog,City Street,Potholes,30,Night,Car,43.0,Haryana,Jhajjar,Severe
Rain,City Street,Wet,35,Evening,Bus,37.0,Karnataka,Mysuru,Minor
Clear,Highway,Normal,80,Evening,Bus,28.0,Tamil Nadu,Madurai,Moderate
Fog,Rural Road,Potholes,70,Night,Bus,19.0,Karnataka,Hubli,Fatal
Fog,City Street,Potholes,30,Night,Car,45.0,Haryana,Palwal,Severe
Clear,City Street,Normal,25,Evening,Car,42.0,Maharashtra,Pune,Minor
Clear,City Street,Normal,35,Afternoon,Motorcycle,33.0,Haryana,Yamunanagar,Moderate
Snow,Rural Road,Potholes,55,Afternoon,Truck,57.0,Uttar Pradesh,Siddharthnagar,Moderate
Snow,City Street,Potholes,45,Night,Bus,22.0,Tamil Nadu,Chennai,Fatal
Fog,Highway,Wet,220,Afternoon,Bus,16.0,Haryana,Panipat,Fatal
Fog,City Street,Normal,30,Evening,Truck,26.0,Karnataka,Hubli,Moderate
Fog,Rural Road,Normal,55,Evening,Truck,34.0,Tamil Nadu,Coimbatore,Minor
Fog,Rural Road,Potholes,120,Evening,Truck,37.0,Karnataka,Hubli,Fatal
Snow,City Street,Normal,60,Morning,Truck,32.0,Haryana,Karnal,Moderate
Fog,Highway,Hill Area,65,Morning,Bus,39.0,Haryana,Panchkula,Fatal
Fog,Rural Road,Potholes,90,Morning,Truck,19.0,Delhi,West Delhi,Severe
Clear,Rural Road,Hill Area,70,Morning,Truck,,Haryana,Charkhi Dadri,Severe
Rain,Highway,Potholes,220,Morning,Bus,34.0,Delhi,North West Delhi,Fatal
Rain,City Street,Hill Area,60,Night,Truck,48.0,Delhi,New Delhi,Fatal
Fog,Rural Road,Normal,55,Night,Truck,39.0,Haryana,Hisar,Severe
Fog,Highway,Potholes,55,Afternoon,Bus,40.0,Maharashtra,Pune,Severe
Fog,Highway,Hill Area,200,Afternoon,Motorcycle,41.0,Tamil Nadu,Salem,Fatal
Clear,Rural Road,Normal,70,Evening,Bus,40.0,Maharashtra,Nagpur,Minor
Fog,Highway,Wet,65,Night,Bus,42.0,Karnataka,Mysuru,Fatal
Clear,Highway,Wet,80,Evening,Motorcycle,50.0,Uttar Pradesh,Azamgarh,Fatal
Fog,Rural Road,Normal,55,Evening,Car,37.0,Delhi,South East Delhi,Moderate
Fog,Highway,Potholes,65,Afternoon,Car,43.0,Karnataka,Bengaluru,Fatal
Fog,City Street,Hill Area,35,Afternoon,Bus,33.0,Delhi,Central Delhi,Severe
Rain,City Street,Hill Area,60,Night,Bus,52.0,Delhi,East Delhi,Severe
Fog,Highway,Hill Area,65,Evening,Truck,26.0,Haryana,Ambala,Fatal
Snow,Highway,Hill Area,100,Afternoon,Car,56.0,Uttar Pradesh,Aligarh,Fatal
Fog,City Street,Wet,30,Afternoon,Car,34.0,Uttar Pradesh,Shravasti,Moderate
Clear,Rural Road,Normal,90,Night,Motorcycle,17.0,Karnataka,Bengaluru,Fatal
Clear,City Street,Wet,25,Afternoon,Motorcycle,36.0,Haryana,Hisar,Moderate
Fog,Highway,Normal,80,Evening,Truck,26.0,Uttar Pradesh,Azamgarh,Severe
Rain,Rural Road,Wet,55,Morning,Bus,45.0,Tamil Nadu,Chennai,Severe
Rain,Rural Road,Wet,45,Night,Bus,27.0,Delhi,North Delhi,Moderate
Snow,City Street,Wet,25,Morning,Bus,29.0,Uttar Pradesh,Jhansi,Moderate
Rain,City Street,Wet,25,Morning,Motorcycle,16.0,Uttar Pradesh,Kushinagar,Severe
Rain,City Street,Potholes,60,Night,Car,29.0,Uttar Pradesh,Shravasti,Moderate
Snow,Highway,Potholes,120,Night,Truck,16.0,Maharashtra,Pune,Fatal
Clear,City Street,Normal,60,Night,Bus,16.0,Tamil Nadu,Coimbatore,Moderate
Rain,Highway,Normal,80,Evening,Truck,44.0,Uttar Pradesh,Mau,Severe
Clear,Highway,Potholes,150,Night,Motorcycle,44.0,Haryana,Fatehabad,Fatal
Clear,Highway,Hill Area,55,Evening,Truck,40.0,Maharashtra,Nagpur,Severe
Snow,Highway,Wet,220,Evening,Motorcycle,,Haryana,Hisar,Fatal
Rain,Rural Road,Wet,120,Night,Motorcycle,34.0,Haryana,Palwal,Fatal
Clear,City Street,Normal,30,Afternoon,Car,34.0,Uttar Pradesh,Bijnor,Minor
Clear,Highway,Wet,100,Afternoon,Car,21.0,Karnataka,Hubli,Severe
Rain,Highway,Hill Area,200,Afternoon,Truck,53.0,Maharashtra,Nagpur,Fatal
Snow,City Street,Normal,45,Evening,Bus,45.0,Karnataka,Mysuru,Minor
Fog,Rural Road,Hill Area,70,Afternoon,Bus,32.0,Delhi,Shahdara,Severe
Snow,Rural Road,Wet,55,Afternoon,Motorcycle,35.0,Karnataka,Hubli,Fatal
Snow,City Street,Hill Area,30,Morning,Motorcycle,37.0,Haryana,Panchkula,Fatal
Rain,Highway,Normal,150,Evening,Bus,16.0,Karnataka,Hubli,Fatal
Fog,City Street,Potholes,45,Morning,Bus,32.0,Delhi,East Delhi,Moderate
Rain,City Street,Potholes,80,Evening,Bus,26.0,Uttar Pradesh,Kushinagar,Moderate
Fog,City Street,Wet,80,Afternoon,Bus,22.0,Delhi,North West Delhi,Severe
Rain,City Street,Hill Area,60,Afternoon,Motorcycle,31.0,Haryana,Sirsa,Fatal
Clear,Highway,Normal,220,Night,Bus,56.0,Uttar Pradesh,Bahraich,Fatal
Fog,Highway,Hill Area,100,Evening,Motorcycle,42.0,Tamil Nadu,Salem,Fatal
Clear,Highway,Potholes,150,Afternoon,Motorcycle,28.0,Uttar Pradesh,Farrukhabad,Fatal
Clear,Highway,Hill Area,220,Morning,Car,41.0,Delhi,Shahdara,Fatal
Snow,Rural Road,Hill Area,120,Afternoon,Truck,51.0,Maharashtra,Pune,Fatal
Rain,City Street,Wet,30,Morning,Bus,46.0,Tamil Nadu,Coimbatore,Minor
Clear,Rural Road,Wet,120,Afternoon,Motorcycle,35.0,Karnataka,Hubli,Fatal
Rain,Highway,Potholes,65,Morning,Bus,27.0,Delhi,North East Delhi,Severe
Clear,Rural Road,Wet,35,Night,Bus,43.0,Uttar Pradesh,Balrampur,Moderate
Snow,Highway,Normal,150,Morning,Truck,39.0,Tamil Nadu,Chennai,Fatal
Fog,City Street,Potholes,35,Night,Motorcycle,45.0,Maharashtra,Nagpur,Fatal
Snow,Rural Road,Hill Area,35,Night,Car,42.0,Maharashtra,Nagpur,Fatal
Fog,Rural Road,Hill Area,90,Afternoon,Car,47.0,Tamil Nadu,Chennai,Fatal
Rain,City Street,Hill Area,25,Night,Bus,28.0,Uttar Pradesh,Etah,Fatal
Clear,Rural Road,Potholes,45,Morning,Motorcycle,50.0,Uttar Pradesh,Mirzapur,Severe
Fog,Rural Road,Normal,120,Evening,Bus,37.0,Karnataka,Bengaluru,Fatal
Snow,Rural Road,Wet,35,Afternoon,Car,59.0,Haryana,Panchkula,Moderate
Fog,Highway,Hill Area,80,Morning,Bus,26.0,Uttar Pradesh,Siddharthnagar,Fatal
Rain,Highway,Normal,70,Morning,Bus,55.0,Uttar Pradesh,Ambedkar Nagar,Severe
Fog,City Street,Wet,80,Evening,Bus,37.0,Uttar Pradesh,Bareilly,Severe
Fog,Highway,Potholes,150,Afternoon,Car,27.0,Uttar Pradesh,Kanpur Nagar,Fatal
Fog,Highway,Wet,65,Evening,Car,29.0,Maharashtra,Mumbai,Fatal
Snow,Rural Road,Wet,70,Morning,Motorcycle,31.0,Haryana,Karnal,Fatal
Snow,Highway,Wet,70,Night,Bus,40.0,Maharashtra,Nagpur,Fatal
Clear,City Street,Normal,30,Night,Motorcycle,41.0,Haryana,Kaithal,Severe
Fog,Highway,Potholes,100,Afternoon,Car,28.0,Tamil Nadu,Madurai,Fatal
Snow,Rural Road,Hill Area,35,Afternoon,Bus,34.0,Maharashtra,Nashik,Severe
Rain,Rural Road,Wet,120,Afternoon,Car,60.0,Haryana,Panchkula,Fatal
Snow,Rural Road,Wet,120,Morning,Bus,55.0,Maharashtra,Nashik,Fatal
Snow,City Street,Hill Area,80,Morning,Motorcycle,40.0,Maharashtra,Pune,Fatal
Clear,Highway,Potholes,70,Morning,Motorcycle,35.0,Karnataka,Mysuru,Fatal
Fog,City Street,Wet,80,Afternoon,Truck,36.0,Uttar Pradesh,Etawah,Severe
Snow,Rural Road,Normal,35,Afternoon,Bus,42.0,Karnataka,Mysuru,Minor
Snow,City Street,Wet,60,Morning,Car,22.0,Tamil Nadu,Madurai,Moderate
Rain,Rural Road,Hill Area,70,Afternoon,Car,31.0,Delhi,North Delhi,Severe
Snow,Rural Road,Wet,55,Night,Car,16.0,Karnataka,Hubli,Fatal
Snow,Highway,Normal,220,Morning,Car,39.0,Delhi,South Delhi,Fatal
Clear,Rural Road,Hill Area,70,Evening,Car,42.0,Tamil Nadu,Coimbatore,Severe
Fog,City Street,Wet,30,Morning,Motorcycle,29.0,Delhi,South East Delhi,Fatal
Clear,City Street,Hill Area,25,Morning,Car,53.0,Haryana,Yamunanagar,Moderate
Rain,Highway,Hill Area,80,Evening,Car,20.0,Delhi,New Delhi,Fatal
Clear,Rural Road,Potholes,55,Morning,Car,17.0,Delhi,South East Delhi,Moderate
Rain,City Street,Normal,35,Afternoon,Motorcycle,37.0,Delhi,South East Delhi,Severe
Rain,Rural Road,Hill Area,120,Evening,Motorcycle,47.0,Tamil Nadu,Coimbatore,Fatal
Clear,Highway,Normal,70,Afternoon,Truck,55.0,Maharashtra,Pune,Moderate
Snow,City Street,Wet,35,Night,Car,29.0,Tamil Nadu,Madurai,Severe
Rain,City Street,Hill Area,80,Morning,Motorcycle,47.0,Uttar Pradesh,Mau,Fatal
Rain,Highway,Potholes,150,Afternoon,Motorcycle,34.0,Tamil Nadu,Coimbatore,Fatal
Snow,City Street,Hill Area,25,Morning,Truck,32.0,Delhi,North East Delhi,Severe
Fog,Highway,Potholes,70,Morning,Motorcycle,45.0,Maharashtra,Nagpur,Fatal
Snow,Highway,Normal,65,Night,Truck,42.0,Karnataka,Bengaluru,Fatal
Snow,Rural Road,Hill Area,55,Morning,Motorcycle,16.0,Uttar Pradesh,Unnao,Fatal
Clear,Highway,Wet,220,Evening,Bus,52.0,Haryana,Kurukshetra,Fatal
Fog,Rural Road,Wet,120,Evening,Car,51.0,Uttar Pradesh,Sant Kabir Nagar,Fatal
Rain,Highway,Hill Area,80,Evening,Car,27.0,Uttar Pradesh,Kushinagar,Fatal
Fog,Highway,Hill Area,100,Evening,Bus,39.0,Tamil Nadu,Madurai,Fatal
Rain,City Street,Normal,80,Evening,Bus,40.0,Maharashtra,Mumbai,Severe
Clear,Rural Road,Wet,35,Morning,Truck,38.0,Tamil Nadu,Chennai,Moderate
Fog,Highway,Hill Area,150,Afternoon,Bus,28.0,Karnataka,Bengaluru,Fatal
Rain,Rural Road,Normal,90,Night,Motorcycle,26.0,Haryana,Yamunanagar,Fatal
Fog,Highway,Wet,220,Afternoon,Car,34.0,Maharashtra,Pune,Fatal
Clear,City Street,Hill Area,35,Night,Truck,49.0,Maharashtra,Mumbai,Fatal
Clear,City Street,Potholes,25,Night,Motorcycle,41.0,Maharashtra,Pune,Fatal
Rain,City Street,Normal,25,Night,Bus,30.0,Delhi,North West Delhi,Moderate
Snow,City Street,Potholes,45,Morning,Car,44.0,Maharashtra,Pune,Severe
Clear,Highway,Hill Area,220,Night,Truck,16.0,Delhi,South East Delhi,Fatal
Fog,Highway,Hill Area,80,Morning,Truck,48.0,Uttar Pradesh,Gonda,Fatal
Fog,City Street,Potholes,35,Evening,Bus,16.0,Haryana,Rewari,Moderate
Fog,Rural Road,Hill Area,35,Afternoon,Truck,30.0,Maharashtra,Nashik,Severe
Rain,Highway,Wet,150,Evening,Car,21.0,Haryana,Mahendragarh,Fatal
Clear,Highway,Wet,200,Night,Motorcycle,19.0,Delhi,Shahdara,Fatal
Rain,City Street,Hill Area,25,Night,Truck,48.0,Delhi,East Delhi,Severe
Rain,City Street,Normal,45,Afternoon,Car,29.0,Uttar Pradesh,Kanpur Nagar,Minor
Fog,City Street,Potholes,30,Evening,Bus,39.0,Delhi,Shahdara,Moderate
Rain,Highway,Potholes,150,Morning,Motorcycle,34.0,Uttar Pradesh,Ghazipur,Fatal
Fog,Rural Road,Normal,45,Afternoon,Truck,40.0,Tamil Nadu,Coimbatore,Minor
Rain,City Street,Normal,25,Evening,Truck,35.0,Haryana,Nuh,Minor
Clear,Highway,Hill Area,80,Night,Motorcycle,19.0,Uttar Pradesh,Gautam Buddha Nagar,Fatal
Fog,City Street,Normal,35,Night,Car,46.0,Maharashtra,Mumbai,Fatal
Snow,City Street,Hill Area,25,Afternoon,Motorcycle,29.0,Delhi,New Delhi,Fatal
Clear,Rural Road,Potholes,90,Afternoon,Motorcycle,16.0,Karnataka,Mangaluru,Fatal
Fog,Highway,Potholes,65,Night,Motorcycle,29.0,Maharashtra,Nagpur,Fatal
Clear,Rural Road,Wet,120,Evening,Motorcycle,53.0,Uttar Pradesh,Lakhimpur Kheri,Fatal
Rain,Rural Road,Potholes,45,Afternoon,Bus,45.0,Delhi,East Delhi,Minor
Clear,Rural Road,Wet,90,Afternoon,Bus,30.0,Delhi,East Delhi,Moderate
Snow,Rural Road,Hill Area,45,Afternoon,Truck,30.0,Delhi,New Delhi,Fatal
Snow,Rural Road,Potholes,70,Evening,Bus,31.0,Uttar Pradesh,Bareilly,Moderate
Fog,City Street,Normal,35,Afternoon,Motorcycle,59.0,Uttar Pradesh,Basti,Severe
Clear,Rural Road,Wet,90,Night,Bus,39.0,Uttar Pradesh,Shravasti,Severe
Rain,City Street,Hill Area,30,Night,Bus,40.0,Tamil Nadu,Madurai,Severe
Clear,Highway,Wet,100,Morning,Bus,47.0,Tamil Nadu,Madurai,Severe
Snow,Rural Road,Potholes,90,Morning,Truck,37.0,Haryana,Bhiwani,Severe
Snow,Highway,Wet,80,Evening,Truck,31.0,Maharashtra,Mumbai,Fatal
Clear,Highway,Potholes,100,Evening,Motorcycle,32.0,Delhi,South East Delhi,Fatal
Fog,Rural Road,Potholes,55,Evening,Car,34.0,Uttar Pradesh,Aligarh,Moderate
Snow,Highway,Potholes,100,Morning,Car,34.0,Uttar Pradesh,Lalitpur,Fatal
Fog,Highway,Potholes,70,Evening,Truck,43.0,Tamil Nadu,Salem,Severe
Rain,Rural Road,Hill Area,70,Evening,Truck,35.0,Karnataka,Bengaluru,Fatal
Fog,Highway,Wet,100,Afternoon,Bus,43.0,Uttar Pradesh,Deoria,Fatal
Snow,Highway,Wet,65,Night,Truck,34.0,Delhi,New Delhi,Fatal
Rain,City Street,Hill Area,60,Morning,Truck,35.0,Uttar Pradesh,Aligarh,Moderate
Fog,City Street,Normal,30,Morning,Car,16.0,Uttar Pradesh,Amroha,Moderate
Clear,City Street,Wet,80,Morning,Car,45.0,Delhi,South East Delhi,Moderate
Clear,Highway,Wet,120,Night,Bus,39.0,Haryana,Kaithal,Fatal
Rain,Highway,Normal,65,Evening,Car,46.0,Delhi,Central Delhi,Severe
Clear,Rural Road,Hill Area,45,Afternoon,Car,16.0,Haryana,Ambala,Severe
Fog,Highway,Potholes,65,Evening,Truck,60.0,Uttar Pradesh,Lucknow,Fatal
Rain,Highway,Wet,120,Morning,Motorcycle,33.0,Maharashtra,Mumbai,Fatal
Snow,Highway,Normal,70,Afternoon,Truck,48.0,Karnataka,Mangaluru,Severe
Rain,Rural Road,Potholes,70,Evening,Motorcycle,22.0,Delhi,North East Delhi,Fatal
Snow,Rural Road,Normal,55,Morning,Truck,42.0,Uttar Pradesh,Bijnor,Minor
Fog,City Street,Hill Area,80,Morning,Car,22.0,Tamil Nadu,Salem,Fatal
Rain,Highway,Potholes,120,Afternoon,Truck,27.0,Karnataka,Mangaluru,Fatal
Fog,City Street,Hill Area,45,Evening,Truck,,Uttar Pradesh,Ghazipur,Severe
Fog,Rural Road,Hill Area,120,Afternoon,Bus,32.0,Delhi,South West Delhi,Fatal
Rain,Rural Road,Normal,35,Afternoon,Motorcycle,37.0,Delhi,North Delhi,Severe
Fog,Highway,Normal,100,Morning,Motorcycle,45.0,Maharashtra,Pune,Fatal
Rain,Rural Road,Hill Area,120,Afternoon,Truck,40.0,Haryana,Bhiwani,Fatal
Clear,Rural Road,Wet,55,Night,Car,36.0,Uttar Pradesh,Mau,Moderate
Clear,Rural Road,Normal,55,Night,Truck,39.0,Delhi,New Delhi,Moderate
Clear,Highway,Normal,200,Morning,Bus,,Haryana,Gurugram,Severe
Snow,City Street,Hill Area,35,Evening,Bus,34.0,Uttar Pradesh,Aligarh,Severe
Rain,Highway,Normal,150,Afternoon,Truck,37.0,Delhi,Shahdara,Fatal
Snow,Rural Road,Potholes,35,Afternoon,Bus,47.0,Haryana,Jind,Moderate
Rain,Rural Road,Wet,45,Night,Car,48.0,Haryana,Mahendragarh,Moderate
Fog,City Street,Potholes,35,Night,Bus,49.0,Haryana,Bhiwani,Severe
Rain,City Street,Normal,25,Morning,Car,42.0,Maharashtra,Nagpur,Minor
Snow,Highway,Normal,100,Morning,Truck,21.0,Tamil Nadu,Chennai,Fatal
Rain,Rural Road,Normal,90,Afternoon,Motorcycle,54.0,Delhi,South West Delhi,Severe
Fog,Highway,Normal,120,Evening,Car,21.0,Maharashtra,Mumbai,Fatal
Fog,Rural Road,Wet,45,Evening,Bus,38.0,Uttar Pradesh,Kaushambi,Moderate
Snow,City Street,Normal,45,Afternoon,Car,25.0,Tamil Nadu,Salem,Minor
Snow,Highway,Wet,80,Night,Car,34.0,Uttar Pradesh,Ballia,Fatal
Rain,Rural Road,Wet,55,Evening,Bus,38.0,Haryana,Karnal,Moderate
Fog,Highway,Hill Area,70,Afternoon,Truck,38.0,Tamil Nadu,Chennai,Fatal
Clear,Highway,Wet,200,Evening,Car,40.0,Karnataka,Bengaluru,Fatal
Rain,City Street,Wet,35,Morning,Motorcycle,54.0,Tamil Nadu,Madurai,Severe
Clear,Highway,Hill Area,70,Evening,Bus,40.0,Maharashtra,Nashik,Severe
Fog,Highway,Potholes,200,Evening,Bus,32.0,Karnataka,Mysuru,Fatal
Snow,City Street,Normal,60,Night,Bus,46.0,Maharashtra,Mumbai,Severe
Rain,Rural Road,Normal,45,Afternoon,Car,49.0,Maharashtra,Nashik,Minor
Clear,Highway,Hill Area,200,Night,Car,20.0,Maharashtra,Nashik,Fatal
Clear,Highway,Wet,150,Morning,Bus,42.0,Karnataka,Mysuru,Fatal
Clear,City Street,Potholes,25,Night,Truck,43.0,Uttar Pradesh,Pratapgarh,Moderate
Fog,Highway,Wet,120,Night,Truck,31.0,Uttar Pradesh,Fatehpur,Fatal
,Highway,Potholes,80,Night,Bus,51.0,Haryana,Bhiwani,Fatal
Fog,City Street,Potholes,35,Afternoon,Car,33.0,Haryana,Charkhi Dadri,Moderate
Clear,City Street,Hill Area,30,Night,Truck,36.0,Uttar Pradesh,Gorakhpur,Severe
Clear,City Street,Potholes,45,Evening,Truck,32.0,Haryana,Kurukshetra,Minor
Fog,Rural Road,Wet,70,Night,Motorcycle,35.0,Uttar Pradesh,Unnao,Fatal
Rain,Highway,Wet,200,Evening,Motorcycle,21.0,Delhi,New Delhi,Fatal
Fog,City Street,Normal,45,Night,Motorcycle,17.0,Tamil Nadu,Chennai,Fatal
Fog,Rural Road,Normal,70,Morning,Truck,54.0,Uttar Pradesh,Etah,Moderate
Fog,Highway,Potholes,55,Afternoon,Truck,24.0,Uttar Pradesh,Unnao,Severe
Snow,Highway,Potholes,200,Evening,Car,23.0,Uttar Pradesh,Saharanpur,Fatal
Fog,City Street,Potholes,45,Night,Motorcycle,16.0,Delhi,New Delhi,Fatal
Snow,Highway,Wet,100,Night,Bus,27.0,Maharashtra,Nashik,Fatal
Clear,Highway,Normal,220,Morning,Bus,19.0,Delhi,South Delhi,Fatal
Fog,Rural Road,Normal,70,Evening,Bus,54.0,Haryana,Jhajjar,Moderate
